id,name,party
500,Folge 500,NA
501,Folge 501,NA
502,Folge 502,NA
503,Folge 503,NA
CDU,Christlich Demokratische Union,CDU
SPD,Sozialdemokratische Partei Deutschland,SPD
FDP,Freie Demokratische Partei,FDP
Linke,Die Linke,Linke
Grüne,Bündnis 90/Die Grünen,Grüne
uvl,Ursula von der Leyen,CDU
lk,Lars Klingenbeil,SPD
nr,Norbert Röttgen,CDU
sw,Sahra Wagenknecht,Linke
cs,Constanze Stelzenmüller,NA
cl,Christian Lindner,FDP
ks,Karl Schlögel,NA
lm,Ljudmyla Melnyk,NA
kd,Kristina Dunz,NA
el,Egils Levits,NA
ab,Annalena Baerbock,Grüne
ft,Frans Timmermans,NA
am,Andrij Melnyk,NA
agl,Alexander Graf Lambsdorff,FDP
er,Egon Ramms,NA
rh,Robert Habeck,Grüne
cm,Claudia Major,NA
kp,Katja Petrowskaja,NA
rk,Roderich Kiesewetter,CDU
